TAG_DATA_DATE,ACTUAL_VALUE,PREDICT_VALUE,RESIDUAL_VALUE
2018-12-08 05:36:00,358.035,357.09594,0.93906
2018-12-08 05:37:00,357.86082,357.18959,0.67123
2018-12-08 05:38:00,357.595,357.3863,0.2087
2018-12-08 05:39:00,357.44445,357.32458,0.11987
2018-12-08 05:40:00,357.345,357.13745,0.20755
2018-12-08 05:41:00,357.99275,357.50479,0.48796
2018-12-08 05:42:00,358.08801,357.38637,0.70164
2018-12-08 05:43:00,357.17583,357.54885,-0.37302
2018-12-08 05:44:00,356.922,357.20245,-0.28045
2018-12-08 05:45:00,357.92248,357.61791,0.30457
2018-12-08 05:46:00,357.99701,357.63925,0.35776
2018-12-08 05:47:00,358.45211,357.88185,0.57026
2018-12-08 05:48:00,358.26901,357.79954,0.46947
2018-12-08 05:49:00,357.73714,357.73373,0.00341
2018-12-08 05:50:00,357.92899,357.75945,0.16954
2018-12-08 05:51:00,358.40323,357.73544,0.66779
2018-12-08 05:52:00,358.616,357.57712,1.03888
2018-12-08 05:53:00,357.94674,357.56829,0.37845
2018-12-08 05:54:00,357.90302,357.55687,0.34615
2018-12-08 05:55:00,358.01654,357.5584,0.45814
2018-12-08 05:56:00,357.892,357.56911,0.32289
2018-12-08 05:57:00,358.25554,357.35669,0.89885
2018-12-08 05:58:00,358.289,357.89447,0.39453
2018-12-08 05:59:00,358.38101,358.00097,0.38004
2018-12-08 06:00:00,358.52399,358.15859,0.3654
2018-12-08 06:01:00,359.43656,358.55409,0.88247
2018-12-08 06:02:00,359.37799,357.91011,1.46788
2018-12-08 06:03:00,358.59693,357.6706,0.92633
2018-12-08 06:04:00,358.422,357.94379,0.47821
2018-12-08 06:05:00,358.57968,358.08391,0.49577
2018-12-08 06:06:00,358.44601,358.09289,0.35312
2018-12-08 06:07:00,358.8415,358.03479,0.80671
2018-12-08 06:08:00,358.99799,357.64383,1.35416
2018-12-08 06:09:00,359.09395,357.92198,1.17197
2018-12-08 06:10:00,359.12,357.67898,1.44102
2018-12-08 06:11:00,359.51329,358.05353,1.45976
2018-12-08 06:12:00,361.23081,358.08459,3.14622
2018-12-08 06:13:00,359.42704,358.19536,1.23168
2018-12-08 06:14:00,358.94199,358.15583,0.78616
2018-12-08 06:15:00,358.95808,358.10325,0.85483
2018-12-08 06:16:00,358.84799,358.36044,0.48755
2018-12-08 06:17:00,358.88117,358.20651,0.67466
2018-12-08 06:18:00,358.815,358.49968,0.31532
2018-12-08 06:19:00,359.29398,358.4788,0.81518
2018-12-08 06:20:00,359.31299,358.90139,0.4116
2018-12-08 06:21:00,359.83525,358.28842,1.54683
2018-12-08 06:22:00,359.92499,359.06549,0.8595
2018-12-08 06:23:00,359.1224,358.68078,0.44162
2018-12-08 06:24:00,359.04901,358.90668,0.14233
2018-12-08 06:25:00,358.76819,358.30104,0.46715
2018-12-08 06:26:00,358.72198,358.19004,0.53194
2018-12-08 06:27:00,358.72455,357.89125,0.8333
2018-12-08 06:28:00,358.66599,357.64175,1.02424
2018-12-08 06:29:00,359.83717,357.92801,1.90916
2018-12-08 06:30:00,360.30301,357.63791,2.6651
2018-12-08 06:31:00,358.10608,357.90989,0.19619
2018-12-08 06:32:00,357.884,357.29497,0.58903
2018-12-08 06:33:00,358.23531,358.09448,0.14083
2018-12-08 06:34:00,358.272,357.79547,0.47653
2018-12-08 06:35:00,359.57488,358.02902,1.54586
2018-12-08 06:36:00,359.95801,358.25008,1.70793
2018-12-08 06:37:00,358.77049,358.44359,0.3269
2018-12-08 06:38:00,358.80301,358.34895,0.45406
2018-12-08 06:39:00,359.18761,358.31757,0.87004
2018-12-08 06:40:00,359.319,358.16581,1.15319
2018-12-08 06:41:00,358.87011,358.06521,0.8049
2018-12-08 06:42:00,358.961,358.27905,0.68195
2018-12-08 06:43:00,359.26315,357.83857,1.42458
2018-12-08 06:44:00,359.505,358.47001,1.03499
2018-12-08 06:45:00,360.07043,358.5107,1.55973
2018-12-08 06:46:00,360.229,358.22556,2.00344
2018-12-08 06:47:00,358.95712,358.24818,0.70894
2018-12-08 06:48:00,358.944,358.08887,0.85513
2018-12-08 06:49:00,359.49142,358.06476,1.42666
2018-12-08 06:50:00,359.461,358.02388,1.43712
2018-12-08 06:51:00,359.0343,358.02963,1.00467
2018-12-08 06:52:00,359.10199,357.6621,1.43989
2018-12-08 06:53:00,359.05483,357.96937,1.08546
2018-12-08 06:54:00,358.98999,357.70651,1.28348
2018-12-08 06:55:00,358.36553,357.67584,0.68969
2018-12-08 06:56:00,358.25601,357.60196,0.65405
2018-12-08 06:57:00,358.89564,357.69876,1.19688
2018-12-08 06:58:00,359.06201,357.87078,1.19123
2018-12-08 06:59:00,359.57652,358.14564,1.43088
2018-12-08 07:00:00,359.521,358.13934,1.38166
2018-12-08 07:01:00,358.66275,358.57932,0.08343
2018-12-08 07:02:00,358.46899,358.99319,-0.5242
2018-12-08 07:03:00,358.91142,358.63041,0.28101
2018-12-08 07:04:00,359.01999,359.66928,-0.64929
